Image;SquareIndex;ObjectInSquare;Area_px;Area_mm2;Scale;X;Y
P1012141.JPG;1;1;3927;20.9833;0.0731;690.443;808.8667
P1012141.JPG;5;1;5589;29.8639;0.0731;651.6895;550.551
P1012141.JPG;4;1;6501;34.7371;0.0731;727.9221;664.7067
P1012141.JPG;6;1;4365;23.32485765;0.0731;672.085;696.35
P1012142.JPG;3;1;1386;7.4059;0.0731;694.3254;644.7049
P1012142.JPG;2;1;2511;13.4171;0.0731;533.1249;716.4797
P1012142.JPG;1;1;4105;21.9344;0.0731;502.1302;773.2676
P1012142.JPG;6;1;2532;13.5293;0.0731;440.6244;584.4897
P1012142.JPG;5;1;3169;16.9331;0.0731;801.8244;559.7607
P1012142.JPG;4;1;2182;11.6592;0.0731;722.5335;702.4931
P1012145.JPG;3;1;2213;11.8248;0.0731;890.3744;605.1055
P1012145.JPG;2;1;2433;13.0004;0.0731;982.9542;423.7491
P1012145.JPG;1;1;3988;21.3092;0.0731;685.1547;647.8809
P1012145.JPG;6;1;2145;11.4615;0.0731;670.0734;736.4291
P1012145.JPG;5;1;3353;17.9162;0.0731;650.5328;669.4499
P1012145.JPG;4;1;3145;16.8048;0.0731;714.0491;648.3137
P1012146.JPG;3;1;1689;9.0249;0.0731;359.8665;568.934
P1012146.JPG;2;1;6252;33.4066;0.0731;903.1873;790.6601
P1012146.JPG;1;1;2617;13.9835;0.0731;642.0663;897.9616
P1012146.JPG;5;1;1005;5.3701;0.0731;682.5886;880.6751
P1012146.JPG;4;1;7077;37.8148;0.0731;621.3937;583.7231
P1012147.JPG;3;1;4665;24.9267;0.0731;648.9227;717.2008
P1012147.JPG;2;1;6202;33.1394;0.0731;656.1833;690.2951
P1012147.JPG;1;1;6212;33.1928;0.0731;606.9907;884.1331
P1012147.JPG;4;1;6096;32.573;0.0731;792.878;527.9293
P1012147.JPG;5;1;2866;#BEZUG!;0.0731;739.928;639.212
P1012148.JPG;3;1;6084;32.5089;0.0731;706.63;892.6723
P1012148.JPG;2;1;2652;14.1705;0.0731;797.9921;560.1735
P1012148.JPG;1;1;1962;10.4836;0.0731;667.7589;740.2115
P1012148.JPG;6;1;6972;37.2538;0.0731;818.5607;459.4471
P1012148.JPG;5;1;6500;34.7317;0.0731;719.1192;1030.8842
P1012148.JPG;4;1;6633;35.4424;0.0731;708.1554;722.6085
